prima_asigurare,tip_plata,suma,tip_polita
326.7,CASH,326.7,1
235.12,CASH,235.12,1
285,CASH,285,1
349.8,CASH,349.8,1
482,CASH,482,1
525,CASH,525,1
324.33,CASH,324.33,1
482,CASH,482,1
290.4,CASH,290.4,1
356.4,CASH,356.4,1
283,CASH,283,1
354.25,CASH,354.25,1
181.5,CASH,181.5,1
324.33,CASH,324.33,1
324.33,CASH,0.01,1
172.42,CASH,0,1
172.42,CASH,172.42,1
283,CASH,283,1
283,CASH,0,1
172.42,CASH,0,1
172.42,CASH,172.42,1
349.8,CASH,349.8,1
349.8,CASH,0,1
240,CASH,240,3
52.8,CASH,52.8,1
357.61,CASH,357.61,1
1212,OP,1212,1
106,OP,106,1
106,OP,106,1
53,OP,53,1
2653.02,OP,2653.02,1
723.52,OP,723.52,17
3150,OP,789,1
3150,OP,787,1
3150,OP,787,1
3150,OP,789,1
3150,OP,789,1
3150,OP,787,1
770,OP,818.72,2
770,OP,818.72,2
3150,OP,787.5,1
3150,OP,787.5,1
3150,OP,787.5,1
1261.24,OP,539.1,2
1261.24,OP,539.1,2
1261.24,OP,539.1,2
171,OP,724.78,17
965,CASH,483,1
850,CASH,850,1
234.77,CASH,109.76,2
2500,CASH,625,1
2500,CASH,625,1
2500,CASH,625,1
2500,CASH,625,1
203.37,CASH,203.37,1
588.71,CASH,588.71,1
513,CASH,513,1
339,CASH,87,1
3528.3,CASH,882.3,1
190.14,CASH,190.14,17
700,OP,741.07,5
259,CASH,259,1
76,CASH,76,1
276,CASH,276,1
45,CASH,45,1
1224,CASH,1224,1
504,CASH,504,1
1011,CASH,1011,1
1011,CASH,1011,1
367.5,CASH,367.5,1
457,CASH,457,1
342,CASH,148.21,2
342,CASH,148.38,2
166,CASH,166,1
143.64,CASH,143.64,1
324.33,CASH,324.33,1
354.25,CASH,354.25,1
230,CASH,80,3
564.35,CASH,564.35,3
1700,CASH,1775.86,2
1700,OP,1775.86,2
1700,CASH,1797.62,2
1700,CASH,1797.62,2
1700,OP,1775.86,2
1700,CASH,1775.86,2
1694,CASH,1797.11,2
237,CASH,237,1
2965.14,OP,2965.14,1
858,OP,913.36,2
308.03,OP,308.03,3
308.03,CASH,308.03,3
339.02,CASH,84.74,3
339.02,OP,84.74,3
56.96,OP,14.24,3
56.96,CASH,14.24,3
600,CASH,600,1
600,CASH,600,1
405,CASH,405,1
1974.21,OP,695.5,2
1974.21,CASH,695.5,2
235.12,CASH,235.12,1
23.31,CASH,97.58,6
324.33,CASH,324.33,1
324.33,CASH,0,1
614.52,CASH,614.52,1
283,CASH,283,1
172.42,CASH,172.42,1
222.5,CASH,222.5,1
235.12,CASH,235.12,1
172.42,CASH,172.42,1
324.33,CASH,324.33,1
283,CASH,283,1
60.83,CASH,60.83,1
405,CASH,405,1
325,CASH,325,1
31.5,CASH,31.5,1
189.99,CASH,189.99,1
41.65,CASH,41.65,1
211.38,CASH,211.38,1
211.38,CASH,211.38,1
482,CASH,482,1
1417.8,CASH,1417.8,1
1575,CASH,1575,1
476,CASH,476,1
140.94,CASH,140.94,1
111.9,CASH,111.9,1
202.77,CASH,202.77,1
224.81,CASH,224.81,1
284.35,CASH,284.35,1
172.42,CASH,172.42,1
163.35,CASH,163.35,1
356,OP,377.99,2
1287,OP,465.6,2
54.05,CASH,54.05,1
207,CASH,207,1
1023.88,CASH,363.87,2
1023.88,CASH,363.7,2
211.38,CASH,211.38,1
482,CASH,482,1
222.5,CASH,222.5,1
405,CASH,405,1
222.5,CASH,222.5,1
30.25,CASH,30.25,1
189,CASH,189,1
498.96,CASH,498.96,1
36,CASH,36,4
18,CASH,18,4
18,CASH,18,4
18,CASH,18,4
21.5,CASH,21.5,4
281,CASH,281,1
162,CASH,162,1
110.67,CASH,110.67,1
190.15,CASH,190.15,1
207.86,CASH,207.86,1
249.78,OP,249.78,1
161.26,OP,161.26,1
378,CASH,378,1
405,CASH,405,1
54,CASH,54,1
211.38,CASH,211.38,1
482,CASH,482,1
1575,CASH,1575,1
222.5,CASH,222.5,1
225.08,CASH,225.08,1
458.15,OP,458.15,1
156.33,OP,156.33,1
1762,CASH,176,2
1762,CASH,178,2
566.77,CASH,604.55,2
2.5,CASH,10.59,6
25.4,CASH,25.4,4
25.4,CASH,25.4,4
60,CASH,63.52,3
20,CASH,84.69,3
25.4,CASH,25.4,4
21.59,CASH,21.59,4
166.86,CASH,166.86,1
322.9,CASH,322.9,1
10,CASH,42.3,3
20,CASH,84.59,3
26.7,CASH,26.7,4
305.91,CASH,305.91,1
189,CASH,189,1
224.91,CASH,224.91,1
24.1,CASH,24.1,4
189,CASH,189,1
5,CASH,21.23,6
41.65,CASH,41.65,1
340.2,CASH,340.2,1
339.9,CASH,339.9,1
141,CASH,141,4
820.7,OP,351.14,2
575.28,OP,575.28,1
135.47,OP,135.47,1
146.88,OP,146.88,1
450,CASH,450,1
43,CASH,43,4
43,CASH,43,4
86,CASH,86,4
43,CASH,43,4
43,CASH,43,4
312,CASH,312,1
59,CASH,59,4
59,CASH,59,4
170.1,CASH,170.1,1
222,CASH,222,1
166.86,CASH,166.86,1
305.91,CASH,305.91,1
921,OP,921,1
264,CASH,264,1
250,CASH,250,1
1675,CASH,3559,2
378.41,CASH,378.41,1
405,OP,405,1
273.52,CASH,273.52,1
212.58,CASH,212.58,1
211.38,OP,211.38,1
201.95,CASH,201.95,1
1122,OP,1122,1
1095.08,OP,4672.05,2
71,CASH,301.49,17
200.25,OP,200.25,1
530,OP,530,1
20.6,CASH,20.6,4
20.6,CASH,20.6,4
20.6,CASH,20.6,4
20.6,CASH,20.6,4
102.52,CASH,102.52,1
207,CASH,207,1
254.02,CASH,254.02,1
76.7,CASH,76.7,1
625,CASH,625,1
205.69,CASH,205.69,1
207,CASH,207,1
282.46,CASH,282.46,1
185.07,CASH,185.07,1
230.01,CASH,230.01,1
294.69,CASH,294.69,1
270.3,CASH,270.3,1
207.57,CASH,207.57,1
223.99,OP,223.99,1
150.55,OP,150.55,1
182.17,OP,182.17,1
684.42,CASH,684.42,1
97.68,CASH,97.68,1
535.2,CASH,535.2,1
538.9,OP,538.9,1
284.24,OP,284.24,1
282.46,OP,282.46,1
350.31,OP,350.31,1
342.21,OP,342.21,1
218.51,CASH,218.51,1
282.46,CASH,282.46,1
510,OP,510,2
204.94,CASH,204.94,1
230.25,CASH,230.25,1
305.91,CASH,305.91,1
414.01,CASH,414.01,1
179.26,CASH,179.26,1
302.94,CASH,302.94,1
414.01,CASH,414.01,1
159.89,CASH,159.89,1
116.28,CASH,116.28,1
250.49,CASH,250.49,1
256.79,CASH,256.79,1
218.51,CASH,218.51,1
305.91,CASH,305.91,1
370.8,CASH,370.8,1
74.8,OP,74.8,1
276.21,CASH,276.21,1
250.49,OP,250.49,1
250.49,OP,250.49,1
295.55,CASH,295.55,1
159.89,CASH,159.89,1
170.1,CASH,170.1,1
333.72,CASH,333.72,1
342.9,CASH,342.9,1
630,CASH,180,3
630,CASH,180,3
630,OP,150,3
630,OP,150,3
112.5,CASH,112.5,4
112.5,CASH,112.5,4
240,CASH,240,4
240,CASH,240,4
58.5,CASH,58.5,4
58.5,CASH,58.5,4
58.5,CASH,58.5,4
58.5,CASH,58.5,4
93,CASH,93,4
93,CASH,93,4
72,CASH,72,4
72,CASH,72,4
59,CASH,59,4
59,CASH,59,4
59,CASH,59,4
59,CASH,59,4
81,CASH,81,4
81,CASH,81,4
54,CASH,54,4
54,CASH,54,4
54,CASH,54,4
54,CASH,54,4
52.5,CASH,52.5,4
52.5,CASH,52.5,4
58,CASH,58,4
58,CASH,58,4
59,CASH,59,4
59,CASH,59,4
112.5,CASH,112.5,4
112.5,CASH,112.5,4
59,CASH,59,4
59,CASH,59,4
59,CASH,59,4
59,CASH,59,4
59,CASH,59,4
59,CASH,59,4
107,CASH,107,4
107,CASH,107,4
59,CASH,59,4
59,CASH,59,4
59,CASH,59,4
59,CASH,59,4
59,CASH,59,4
59,CASH,59,4
88.5,CASH,88.5,4
88.5,CASH,88.5,4
88.5,CASH,88.5,4
88.5,CASH,88.5,4
123.9,CASH,123.9,4
123.9,CASH,123.9,4
88.5,CASH,88.5,4
88.5,CASH,88.5,4
59,CASH,59,4
59,CASH,59,4
106.2,CASH,106.2,4
106.2,CASH,106.2,4
59,CASH,59,4
59,CASH,59,4
59,CASH,59,4
59,CASH,59,4
59,CASH,59,4
59,CASH,59,4
